Question,Intent
What is my name?,name
I bet you forgot my name,name
Remember my name?,name
Tell me my name, name
You forgot my name already, name
What is my name,name
Change my name, name
Who are you talking to?,name
Lets get started,menu
What's on the menu?,menu
What do you have for food?,menu
What food do you have ,menu
What are your specials?, menu
Tell me about your desserts menu,menu
Any recommendations for a romantic dinner?,menu
Do you have outdoor seating?,menu
Tell me about your wine selection,menu
I'm allergic to nuts; can you accommodate that?,menu
Can I customize my order?,menu
Can you accommodate dietary restrictions?,menu
Do you have gluten-free options?,menu
What's the chef's recommendation today?,menu
I'm craving a big meal,menu
I want some food ,menu
Can I see the menu,menu
What type of food do you have?,menu
Do you have vegan/vegetarian food?,booking
What's your cancellation policy?,booking
Is there a reservation fee?,booking
Can I modify my reservation?,booking
How many bookings do you have,booking
Do you have a waiting list?,booking
What's the latest available time for booking?,booking
How far in advance should I book?,booking
I want to make a booking,booking
Can I book a table,booking
Can I book a table,booking
May I book,booking
Can I reserve ,booking
May I make a reservation,booking
Could I make a booking for 7pm,booking
I need a table for 2,booking
I need a table for today,booking
Can I make an appointment?,booking
Can I make a reservation,booking
Can I make a booking?,exit
Goodbye,exit
Quit,exit
Bye,exit
im going to leave,exit
I'm finished now,exit
Adios,exit
Arrivederci ,exit
Byebye,exit
I'm going to go,exit
Can I leave now?,exit
Stop,exit
I want you to go,exit
Exit,exit